# Variant positions
Pop ID	Private	Num_Indv	Var	    StdErr	P	      Var	    StdErr	Obs_Het	Var	    StdErr	Obs_Hom	Var	    StdErr	Exp_Het	Var	    StdErr	Exp_Hom	Var	    StdErr	Pi	    Var	    StdErr	Fis	      Var	    StdErr
fc	    15338	  13.01230	1.86867	0.00606	0.84388	0.03426	0.00082	0.27219	0.12320	0.00156	0.72781	0.12320	0.00156	0.19497	0.03827	0.00087	0.80503	0.03827	0.00087	0.20320	0.04161	0.00090	-0.11988	0.16127	0.00606
fl	    5284	  3.09184	  0.08341	0.00248	0.86726	0.02504	0.00136	0.22104	0.09179	0.00260	0.77896	0.09179	0.00260	0.18017	0.03379	0.00158	0.81983	0.03379	0.00158	0.21531	0.04844	0.00189	-0.00197	0.11110	0.00248
pl	    9144	  8.23280	  0.68794	0.00372	0.83939	0.03818	0.00088	0.29111	0.14501	0.00171	0.70889	0.14501	0.00171	0.19327	0.04259	0.00093	0.80673	0.04259	0.00093	0.20632	0.04857	0.00099	-0.15262	0.16109	0.00372

# All positions (variant and fixed)
Pop ID	Private	Sites	    Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	    StdErr	P	      Var	    StdErr	Obs_Het	Var	    StdErr	Obs_Hom	Var	    StdErr	Exp_Het	Var	    StdErr	Exp_Hom	Var	    StdErr	Pi	    Var	    StdErr	Fis	      Var	    StdErr
fc	    15338	  38068697	50878	        36040	            0.09467	          14.01288	1.11036	0.00017	0.99979	0.00008	0.00000	0.00036	0.00026	0.00000	0.99964	0.00026	0.00000	0.00026	0.00010	0.00000	0.99974	0.00010	0.00000	0.00027	0.00011	0.00000	-0.00016	0.00023	0.00017
fl	    5284	  34632701	13534	        7200	            0.02079	          3.07500	  0.06937	0.00004	0.99995	0.00002	0.00000	0.00009	0.00005	0.00000	0.99991	0.00005	0.00000	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00008	0.00004	0.00000	-0.00000	0.00004	0.00004
pl	    9144	  37460199	49690	        28887	            0.07711	          8.93674	  1.14731	0.00018	0.99979	0.00008	0.00000	0.00039	0.00030	0.00000	0.99961	0.00030	0.00000	0.00026	0.00011	0.00000	0.99974	0.00011	0.00000	0.00027	0.00012	0.00000	-0.00020	0.00024	0.00018
