# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
lc	11499	12.98498	1.85507	0.00598	0.76159	0.04574	0.00094	0.44947	0.18221	0.00187	0.55053	0.18221	0.00187	0.27166	0.04586	0.00094	0.72834	0.04586	0.00094	0.28306	0.04982	0.00098	-0.31519	0.21626	0.00598
fl	4459	3.08851	0.08068	0.00245	0.82264	0.03624	0.00164	0.32421	0.14507	0.00328	0.67579	0.14507	0.00328	0.21934	0.04043	0.00173	0.78066	0.04043	0.00173	0.26221	0.05795	0.00207	-0.09845	0.13069	0.00245
pl	6977	8.21305	0.68400	0.00364	0.75947	0.04800	0.00096	0.46193	0.19320	0.00194	0.53807	0.19320	0.00194	0.26936	0.04893	0.00097	0.73064	0.04893	0.00097	0.28745	0.05575	0.00104	-0.32551	0.19801	0.00364
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
lc	11499	20557071	51941	40203	0.19557	14.27443	0.78882	0.00020	0.99940	0.00026	0.00000	0.00114	0.00097	0.00001	0.99886	0.00097	0.00001	0.00069	0.00030	0.00000	0.99931	0.00030	0.00000	0.00072	0.00033	0.00000	-0.00080	0.00080	0.00020
fl	4459	19222141	13467	7955	0.04138	3.09058	0.08237	0.00007	0.99988	0.00005	0.00000	0.00023	0.00018	0.00000	0.99977	0.00018	0.00000	0.00015	0.00006	0.00000	0.99985	0.00006	0.00000	0.00018	0.00009	0.00000	-0.00007	0.00010	0.00007
pl	6977	20401355	51599	35387	0.17345	9.05408	1.04146	0.00023	0.99939	0.00027	0.00000	0.00117	0.00103	0.00001	0.99883	0.00103	0.00001	0.00068	0.00031	0.00000	0.99932	0.00031	0.00000	0.00073	0.00035	0.00000	-0.00082	0.00077	0.00023
